2018-10-09 23:00:01.197 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/regist],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.xhMall.dto.BaseResult<?> com.xhMall.controller.UserController.regist(javax.servlet.http.HttpServletResponse,javax.servlet.http.HttpServletRequest,com.xhMall.db.entity.UserEntity,org.springframework.validation.BindingResult)
2018-10-09 23:00:01.197 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/mall_regist],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView com.xhMall.controller.UserController.mall_regist(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-10-09 23:00:01.197 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.xhMall.controller.UserController.testView(org.springframework.ui.Model)
2018-10-09 23:00:01.197 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/exportData],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.http.ResponseEntity<byte[]> com.xhMall.controller.UserController.exportData(javax.servlet.http.HttpServletResponse)
2018-10-09 23:00:01.197 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/fileUpLoad],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.xhMall.controller.UserController.fileUpLoad(org.springframework.web.multipart.MultipartFile,javax.servlet.http.HttpServletRequest)
2018-10-09 23:00:01.212 [main] INFO  org.apache.tiles.access.TilesAccess - Publishing TilesContext for context: org.springframework.web.servlet.view.tiles3.SpringWildcardServletTilesApplicationContext
2018-10-09 23:00:01.228 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/test],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.xhMall.dto.BaseResult<com.xhMall.db.entity.MenuEntity> com.xhMall.controller.UserController.test()
2018-10-09 23:00:01.228 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/activate],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.xhMall.dto.BaseResult<?> com.xhMall.controller.UserController.activate(java.lang.String,java.lang.String)
2018-10-09 23:00:01.228 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/login],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.xhMall.controller.UserController.login(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.xhMall.db.entity.UserEntity)
2018-10-09 23:00:01.228 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/getVerifyCode],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.xhMall.dto.BaseResult<?> com.xhMall.controller.UserController.getVerifyCode(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-10-09 23:00:01.228 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/regist],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.xhMall.dto.BaseResult<?> com.xhMall.controller.UserController.regist(javax.servlet.http.HttpServletResponse,javax.servlet.http.HttpServletRequest,com.xhMall.db.entity.UserEntity,org.springframework.validation.BindingResult)
2018-10-09 23:00:01.228 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/mall_regist],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView com.xhMall.controller.UserController.mall_regist(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-10-09 23:00:01.228 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.xhMall.controller.UserController.testView(org.springframework.ui.Model)
2018-10-09 23:00:01.228 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/exportData],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.http.ResponseEntity<byte[]> com.xhMall.controller.UserController.exportData(javax.servlet.http.HttpServletResponse)
2018-10-09 23:00:01.228 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/fileUpLoad],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.xhMall.controller.UserController.fileUpLoad(org.springframework.web.multipart.MultipartFile,javax.servlet.http.HttpServletRequest)
2018-10-09 23:00:01.259 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/assets/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0'
2018-10-09 23:00:01.259 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler 'org.springframework.web.servlet.resource.DefaultServletHttpRequestHandler#0'
2018-10-09 23:00:01.290 [main] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcher': initialization completed in 250 ms
